Time,Time Code,Country Name,Country Code,Population,GDP per capita,Population growth,Mortality rate,Life expectancy
2021,YR2021,Suriname,SUR,612985,5026.87949279073,0.970459647008266,17.2,70.274
2021,YR2021,Kyrgyz Republic,KGZ,6773400,1365.50830399287,2.89836288600667,17.4,71.9
2021,YR2021,Ecuador,ECU,17797737,5965.13287054416,1.18206337539033,12.5,73.67
2021,YR2021,Argentina,ARG,45808747,10650.8604604345,0.947490959333989,6.9,75.39
2021,YR2021,Bahrain,BHR,1463265,26850.0033915702,-0.966024840061971,6.9,78.76
2021,YR2021,China,CHN,1412360000,12617.5051041181,0.0892522000412526,6.9,78.211
2021,YR2021,Kosovo,XKX,1786038,5269.78390114389,-0.229015994470004,10,76.806
2021,YR2021,Bosnia and Herzegovina,BIH,3270943,7230.19883771887,-1.44065259604193,5.6,75.3
2021,YR2021,Slovak Republic,SVK,5447247,21768.1486708026,-0.212358807611049,5.6,74.7146341463415
2021,YR2021,Panama,PAN,4351267,15491.2898013383,1.3156150150044,13.9,76.223
2021,YR2021,Seychelles,SYC,99258,12963.0589802139,0.805183391179401,13.9,73.3975609756097
2021,YR2021,Bulgaria,BGR,6877743,12219.3418706779,-0.814846471528947,6.3,71.5146341463415
2021,YR2021,Latin America & Caribbean,LCN,654980630,8478.6334058771,0.683382768901538,15.9,72.1474343340309
2021,YR2021,Armenia,ARM,2790974,4972.78320361917,-0.522963242641951,10.7,72.043
2021,YR2021,High income,HIC,1241268556,48535.4658244281,-0.0362679507636301,4.9,79.9239229936161
2021,YR2021,Iraq,IRQ,43533592,4770.83534274738,2.26888921028968,24.5,70.378
2021,YR2021,Sweden,SWE,10415811,61417.6808766469,0.600591532839468,2.5,83.1560975609756
2021,YR2021,United Kingdom,GBR,67026292,46869.759058411,-0.0819372405302065,4.2,80.7
2021,YR2021,France,FRA,67764304,43671.3084099631,0.285508618638434,4.4,82.3243902439024
2021,YR2021,Grenada,GRD,124610,9010.5127999358,0.762873605069601,16.2,74.936
2021,YR2021,Palau,PLW,18024,12921.8273205171,0.288921192202971,16.2,..
2021,YR2021,Russian Federation,RUS,144130482,12532.05078125,0.0397933936830454,5.1,69.3612195121951
2021,YR2021,Fiji,FJI,924610,4656.05134145,0.45397664568484,27.7,67.114
2021,YR2021,Guyana,GUY,804567,9994.64570422569,0.919614738982755,27.7,65.673
2021,YR2021,Barbados,BRB,281200,17507.4679943101,0.180461453548187,11.9,77.571
2021,YR2021,Algeria,DZA,44177969,3700.31469728198,1.65770320084269,22.3,76.377
