Country,Country Code,Continent,Land area,Population,Population growth,GDP per capita,Income Group,Industry,Life expectancy,Birth rate,Death rate
Curacao,CUW,South America,444.00,152369.00,-1.677791247,17980.00,Low Income,Tourism and Hospitality,78.02,8.6,11.1
Cyprus,CYP,Europe,9240.00,1244188.00,0.53599943,32745.84,High income,"Technology, Information and Media",81.2,10.31,7.26
Czechia,CZE,Europe,77186.83,10505772.00,-1.81187141,26822.51,High income,Manufacturing,77.37,10.6,13.3
Denmark,DNK,Europe,40000.00,5856733.00,0.433414489,69268.65,High income,Manufacturing,81.4,10.8,9.8
Djibouti,DJI,Africa,23180.00,1105557.00,1.40284751,3062.55,Lower middle income,Logistics,62.31,22.21,9.15
Dominica,DMA,North America,750.00,72412.00,0.577535935,7668.16,Upper middle income,Agriculture and Food Services,72.81,13.33,8.99
Dominican Republic,DOM,North America,47531.00,11117873.00,1.068926667,8476.75,Upper middle income,Manufacturing,72.62,18.43,6.68
Ecuador,ECU,South America,248360.00,17797737.00,1.182063375,5965.13,Upper middle income,Manufacturing,73.67,16.82,6.72
"Egypt, Arab Rep.",EGY,Africa,995450.00,109262178.00,1.658383679,3886.72,Upper middle income,Textiles and Food Production,70.22,22.56,6.33
El Salvador,SLV,North America,20720.00,6314167.00,0.340068122,4664.31,Upper middle income,Agriculture and Food Services,70.75,16.03,8.66
Equatorial Guinea,GNQ,Africa,28050.00,1634466.00,2.378494519,7406.08,Upper middle income,Oil and Petroleum,60.59,30.5,9.04
Eritrea,ERI,Africa,121040.83,3620312.00,1.796101337,566.73,Low Income,Agriculture and Food Services,66.54,28.62,6.73
Estonia,EST,Europe,42750.00,1330932.00,0.105996956,27943.70,High income,"Technology, Information and Media",76.74,10,14
Eswatini,SWZ,Africa,17200.00,1192271.00,0.979052258,4068.57,Lower middle income,Agriculture and Food Services,57.07,24.13,11.36
Ethiopia,ETH,Africa,1128571.27,120283026.00,2.604319283,925.00,Low income,Agriculture and Food Services,64.98,32.38,6.78
Faroe Islands,FRO,Europe,1370.00,52889.00,0.900256783,69108.21,High income,Food Production,83.5,12.8,8.1
Fiji,FJI,Oceania,18270.00,924610.00,0.453976646,4656.05,Upper middle income,Tourism and Hospitality,67.11,19.35,8.86
Finland,FIN,Europe,303947.70,5541017.00,0.207288594,53504.69,High income,Manufacturing,81.93,9,10.4
France,FRA,Europe,547557.00,67764304.00,0.285508619,43671.31,High income,Real Estate,82.32,10.9,9.7
French Polynesia,PYF,Oceania,3471.00,304032.00,0.69708774,20230.24,Low Income,Tourism and Hospitality,79.49,12.76,5.38
Gabon,GAB,Africa,257670.00,2341179.00,2.097988103,8635.80,Upper middle income,Oil and Petroleum,65.82,27.14,7.26
"Gambia, The",GMB,Africa,10120.00,2639916.00,2.52879318,772.15,Low income,Agriculture and Food Services,62.08,33.26,7.54
Georgia,GEO,Europe,69490.00,3708610.00,-0.379636607,5023.27,Upper middle income,Manufacturing,71.69,13.41,15.17
Germany,DEU,Europe,349390.00,83196078.00,0.042327057,51426.75,High income,Hospital and Health Care,80.9,9.6,12.3
Ghana,GHA,Africa,227533.00,32833031.00,2.00774487,2422.09,Lower middle income,"Technology, Information and Media",63.8,27.55,7.63
Gibraltar,GIB,Europe,10.00,32669.00,-0.122365337,43000.00,Low Income,Financial Services,79.33,10.71,11.55
Greece,GRC,Europe,128900.00,10569207.00,-1.21680249,20310.68,High income,Manufacturing,80.18,8,13.5
Greenland,GRL,North America,410450.00,56653.00,0.506106194,57116.30,Low Income,Food Production,71.15,13.4,9.4
Grenada,GRD,North America,340.00,124610.00,0.762873605,9010.51,Upper middle income,Agriculture and Food Services,74.94,15.96,8.15
Guam,GUM,Oceania,540.00,170534.00,0.767004481,35904.86,Low Income,Tourism and Hospitality,76.66,16.38,7.34
Guatemala,GTM,North America,107160.00,17109746.00,1.480316806,5029.48,Upper middle income,Manufacturing,69.24,21.12,6.5
Guinea,GIN,Africa,245720.00,13531906.00,2.444317219,1189.18,Lower middle income,Mining and Minerals,58.89,34.43,9.99
Guinea-Bissau,GNB,Africa,28120.00,2060721.00,2.202589246,795.12,Low income,Agriculture and Food Services,59.65,31.09,8.72
Guyana,GUY,South America,196850.00,804567.00,0.919614739,9994.65,High income,Agriculture and Food Services,65.67,20.3,9.99
Haiti,HTI,North America,27560.00,11447569.00,1.237298997,1823.74,Lower middle income,Agriculture and Food Services,63.19,23.5,8.68
Honduras,HND,North America,111890.00,10278345.00,1.535139668,2771.72,Lower middle income,Agriculture and Food Services,70.12,21.07,5.61
"Hong Kong SAR, China",HKG,Asia,1050.00,7413100.00,-0.911776749,49764.79,High income,Logistics,85.49,5,6.9
Hungary,HUN,Europe,91260.00,9709891.00,-0.413751024,18753.05,High income,Retail,74.47,9.7,16.1
Iceland,ISL,Europe,100830.00,372520.00,1.63931664,68710.24,High income,Tourism and Hospitality,83.12,13.1,6.3
India,IND,Asia,2973190.00,1407563842.00,0.797216094,2238.13,Lower middle income,Manufacturing,67.24,16.42,9.45
Indonesia,IDN,Asia,1892555.47,273753191.00,0.694717688,4334.22,Upper middle income,Accommodation Services,67.57,16.43,10.07
"Iran, Islamic Rep.",IRN,Asia,1622500.00,87923432.00,0.722822505,4084.20,Lower middle income,Oil and Petroleum,73.88,13.7,6.44
Iraq,IRQ,Asia,434128.00,43533592.00,2.26888921,4770.84,Upper middle income,Oil and Petroleum,70.38,27.37,4.75
Ireland,IRL,Europe,68890.00,5033164.00,0.953878184,102001.80,High income,Pharmaceuticals,82.1,11.6,6.6
Isle of Man,IMN,Europe,570.00,84263.00,0.2578592,79530.61,Low Income,Financial Services,80.53,8.53,10.6
Israel,ISR,Asia,21640.00,9371400.00,1.681905517,52129.52,High income,Business Consulting and Services,82.5,19.7,5.4
Italy,ITA,Europe,295717.00,59133173.00,-0.515599999,36449.26,High income,Manufacturing,82.8,6.8,12
Jamaica,JAM,North America,10830.00,2827695.00,0.257040922,5183.58,Upper middle income,Tourism and Hospitality,70.5,11.71,8.8
Japan,JPN,Asia,364500.00,125681593.00,-0.459952416,40058.54,High income,Wholesale,84.45,6.6,11.7
Jordan,JOR,Asia,88794.00,11148278.00,1.989076856,4152.76,Upper middle income,Manufacturing,74.26,21.95,3.87
Kazakhstan,KAZ,Asia,2699700.00,19000988.00,1.299508438,10373.79,Upper middle income,Oil and Petroleum,70.23,23.5,9.61
Kenya,KEN,Africa,569140.00,53005614.00,1.942761283,2069.66,Lower middle income,"Technology, Information and Media",61.43,27.69,8.06
Kiribati,KIR,Oceania,810.00,128874.00,1.888540758,1766.14,Lower middle income,Tourism and Hospitality,67.42,27.21,6.24
"Korea, Dem. People's Rep.",PRK,Asia,120410.00,25971909.00,0.40294521,900.00,Low Income,Electronics,73.28,13.24,9.31
"Korea, Rep.",KOR,Asia,97600.00,51744876.00,-0.176408651,35142.26,High income,Automotive,83.53,5.1,6.2
Kosovo,XKX,Europe,10905.00,1786038.00,-0.229015994,5269.78,Upper middle income,Mining and Minerals,76.81,11.14,7.22
Kuwait,KWT,Asia,17820.00,4250114.00,-2.562808093,32324.84,High income,Manufacturing,78.67,10.41,2.91
Kyrgyz Republic,KGZ,Asia,191800.00,6773400.00,2.898362886,1365.51,Lower middle income,Manufacturing,71.9,22.4,5.8
Lao PDR,LAO,Asia,230800.00,7425057.00,1.433214065,2535.62,Lower middle income,Mining and Minerals,68.06,21.97,6.61
Latvia,LVA,Europe,62230.00,1884490.00,-0.843294678,20930.40,High income,Manufacturing,73.28,9.2,18.4
Lebanon,LBN,Asia,10230.00,5592631.00,-1.249035167,4136.15,Low Income,Manufacturing,75.05,14.95,8.27
Lesotho,LSO,Africa,30360.00,2281454.00,1.20621788,1029.51,Lower middle income,Manufacturing,53.06,26.11,14.19
Liberia,LBR,Africa,96320.00,5193416.00,2.05886078,675.66,Low income,Mining and Minerals,60.75,31.29,8.84
Libya,LBY,Africa,1759540.00,6735277.00,1.214947645,5908.95,Upper middle income,Oil and Petroleum,71.91,17.83,6.02
Liechtenstein,LIE,Europe,160.00,39039.00,0.727556394,197504.55,Low Income,Financial Services,84.4,9.6,6.9
Lithuania,LTU,Europe,62610.00,2800839.00,0.21280543,23849.62,High income,Manufacturing,74.34,8.3,17
Luxembourg,LUX,Europe,2574.46,640064.00,1.518349367,133711.79,High income,Financial Services,82.75,10.5,7
"Macao SAR, China",MAC,Asia,33.00,686607.00,1.515044864,45104.89,High income,Tourism and Hospitality,85.4,10.11,4.11
Madagascar,MDG,Africa,581800.00,28915653.00,2.416869374,503.35,Low income,Agriculture and Food Services,64.49,30.95,7.1
Malawi,MWI,Africa,94280.00,19889742.00,2.611417766,633.61,Low income,Agriculture and Food Services,62.9,32.86,6.98
Malaysia,MYS,Asia,328550.00,33573874.00,1.119853991,11134.62,Upper middle income,Manufacturing,74.88,15.24,6.03
Maldives,MDV,Asia,300.00,521457.00,1.355177392,10076.32,Upper middle income,Tourism and Hospitality,79.92,14.09,3.02
Mali,MLI,Africa,1220190.00,21904983.00,3.157964369,881.51,Low income,Mining and Minerals,58.94,41.64,9.27
Malta,MLT,Europe,320.00,518536.00,0.619810316,34881.29,High income,"Technology, Information and Media",82.86,8.5,8
Marshall Islands,MHL,Oceania,180.00,42050.00,-3.189954901,6130.44,Upper middle income,Tourism and Hospitality,65.27,19.28,7.56
Mauritania,MRT,Africa,1030700.00,4614974.00,2.553910771,1998.39,Lower middle income,Mining and Minerals,64.36,33.19,7.44
Mauritius,MUS,Africa,1997.00,1266334.00,0.025272988,9068.98,Upper middle income,Tourism and Hospitality,73.68,10.3,10.5
Mexico,MEX,North America,1943950.00,126705138.00,0.559420832,10359.15,Upper middle income,Manufacturing,70.21,14.86,9.41
"Micronesia, Fed. Sts.",FSM,Oceania,700.00,113131.00,0.9101587,3588.76,Upper middle income,Tourism and Hospitality,70.71,20.78,6.21
Moldova,MDA,Europe,32970.00,2595809.00,-1.503429523,5274.74,Upper middle income,Agriculture and Food Services,68.85,12.43,16.36
Monaco,MCO,Europe,2.08,36686.00,-0.641236846,235132.78,Low Income,Tourism and Hospitality,89.5,8.8,10.9
Mongolia,MNG,Asia,1557507.00,3347782.00,1.609371036,4566.14,Upper middle income,Mining and Minerals,70.98,21.41,6.13
Montenegro,MNE,Europe,13450.00,619211.00,-0.337762722,9465.96,Upper middle income,Tourism and Hospitality,73.82,11.4,14.8
Morocco,MAR,Africa,446300.00,37076584.00,1.051484312,3767.52,Lower middle income,Manufacturing,74.04,17.55,6.17
Mozambique,MOZ,Africa,786380.00,32077072.00,2.842112349,504.04,Low income,Agriculture and Food Services,59.33,36.6,8.79
Myanmar,MMR,Asia,652670.00,53798084.00,0.699278204,1231.69,Lower middle income,Agriculture and Food Services,65.67,17.1,9.77
Namibia,NAM,Africa,823290.00,2530151.00,1.63585889,4919.19,Upper middle income,Mining and Minerals,59.27,27.44,10.71
Nauru,NRU,Oceania,20.00,12511.00,1.579022576,11632.69,High income,Mining and Minerals,63.62,27.56,6.63
Nepal,NPL,Asia,143350.00,30034989.00,2.311723712,1229.39,Lower middle income,"Technology, Information and Media",68.45,20.4,7.78
Netherlands,NLD,Europe,33670.00,17533044.00,0.523490508,58727.87,High income,Hospital and Health Care,81.46,10.2,9.8
New Caledonia,NCL,Oceania,18280.00,270390.00,-0.254861903,37247.49,Low Income,Mining and Minerals,79.13,14.3,7.2
New Zealand,NZL,Oceania,263310.00,5111400.00,0.415621677,49996.42,High income,Manufacturing,82.21,11.48,6.83
Nicaragua,NIC,North America,120340.00,6850540.00,1.39120242,2064.93,Lower middle income,Agriculture and Food Services,73.84,20.51,4.86
Niger,NER,Africa,1266700.00,25252722.00,3.707423785,590.63,Low income,Mining and Minerals,61.58,45.29,8.14
Nigeria,NGA,Africa,910770.00,213401323.00,2.406363381,2065.77,Lower middle income,"Technology, Information and Media",52.68,37.12,13.08
North Macedonia,MKD,Europe,25220.00,2065092.00,-0.359578822,6778.56,Upper middle income,Agriculture and Food Services,74.54,10.2,15.5
Northern Mariana Islands,MNP,Oceania,460.00,49481.00,-0.21399451,17302.92,Low Income,Tourism and Hospitality,76.8,15.6,5.6
Norway,NOR,Europe,364270.00,5408320.00,0.534772282,93072.89,High income,Entertainment Providers,83.16,10.4,7.8
Oman,OMN,Asia,309500.00,4520471.00,-0.505921839,19509.47,High income,Oil and Petroleum,72.54,18.42,3.8
Pakistan,PAK,Asia,770880.00,231402117.00,1.834062082,1506.11,Lower middle income,IT Services and IT Consulting,66.1,27.52,7.17
Palau,PLW,Oceania,460.00,18024.00,0.288921192,12921.83,Low Income,Tourism and Hospitality,65.53,13.4,10.2
Panama,PAN,North America,74180.00,4351267.00,1.315615015,15491.29,High income,Manufacturing,76.22,17.69,6.07
Papua New Guinea,PNG,Oceania,452860.00,9949437.00,2.02856054,2624.60,Lower middle income,Mining and Minerals,65.35,25.51,6.68
Paraguay,PRY,South America,397300.00,6703799.00,1.277616002,5959.44,Upper middle income,Agriculture and Food Services,70.26,20.63,7.64
Peru,PER,South America,1280000.00,33715471.00,1.225660252,6635.46,Upper middle income,Manufacturing,72.38,17.62,7.99
Philippines,PHL,Asia,298170.00,113880328.00,1.494557167,3460.54,Lower middle income,Business Consulting and Services,69.27,21.81,7.31
Poland,POL,Europe,306100.00,37747124.00,-0.401728617,18050.28,High income,Hospital and Health Care,75.6,8.8,13.8
Portugal,PRT,Europe,91605.60,10361831.00,0.626850165,24661.17,High income,Manufacturing,81.07,7.7,12.1
Puerto Rico,PRI,North America,8870.00,3262693.00,-0.57650769,32601.57,High income,Pharmaceuticals,80.16,5.9,8.6
Qatar,QAT,Asia,11490.00,2688235.00,-2.648531832,66858.74,High income,Manufacturing,79.27,9.82,1.31
Romania,ROU,Europe,230080.00,19122059.00,-0.746036479,14946.62,High income,Manufacturing,72.96,9.3,17.5
Russian Federation,RUS,Asia,16376870.00,144130482.00,0.039793394,12532.05,High income,Oil and Petroleum,69.36,9.6,16.7
Rwanda,RWA,Africa,24670.00,13461888.00,2.371751548,821.17,Low income,Agriculture and Food Services,66.07,29.98,6.28
Samoa,WSM,Oceania,2780.00,218764.00,1.768578216,3857.69,Lower middle income,Tourism and Hospitality,72.77,27.25,5.34
San Marino,SMR,Europe,60.00,33745.00,-0.773412758,54982.45,Low Income,Tourism and Hospitality,83.72,6.2,9.1
Sao Tome and Principe,STP,Africa,960.00,223107.00,2.022036167,2350.45,Lower middle income,Agriculture and Food Services,67.59,28.26,6.39
